,Adjusted_BoxOffice,BoxOffice,NLP_Score,Director,Runtime,Title,Writer,Year,imdbRating,imdbVotes,Internet_Movie_Database,Rotten_Tomatoes,Metacritic,First_actor,Second_actor,Third_actor,Forth_actor,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,budget,Adjusted_Budgets,Director_Score,Writer_Score,Actor_Score
0,883.8271184337,749.7,18.600911038076056,James Cameron,162,Avatar,James Cameron,2009,7.8,1009009,7.8,8.3,8.3,Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"UK, USA",2,425000000.0,501.03578142499987,0.31553508069927755,0.1902577026091652,2.561037852231493
1,1039.048027699616,659.3639440000002,20.004369209192493,James Cameron,194,Titanic,James Cameron,1997,7.8,919766,7.8,8.9,7.5,Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,200000000.0,315.1667716,0.31553508069927755,0.1902577026091652,3.056169904913601
2,425.48461672540685,412.400625,12.257118610848615,Patty Jenkins,141,Wonder Woman,Allan Heinberg,2017,7.5,444037,7.5,9.3,7.6,Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"USA, China, Hong Kong",3,150000000.0,154.75896165,0.0933586754572887,0.02426599579002588,1.7835302163330482
3,567.5916694802704,403.706375,21.101227328279094,Sam Raimi,121,Spider-Man,Stan Lee,2002,7.3,620642,7.3,9.0,7.3,Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,139000000.0,195.427288107,0.4368415938616779,0.07458967683873402,3.5336356003674907
4,79.26652601000495,45.29968,21.574697913694724,Steven Spielberg,127,Jurassic Park,Michael Crichton,1993,8.1,751491,8.1,9.1,6.8,Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,63000000.0,110.238993711,1.454859333535564,0.23656895584830395,2.472765813800319
5,492.34618672526716,380.270577,16.534942004304266,George Lucas,140,Star Wars: Episode III - Revenge of the Sith,George Lucas,2005,7.6,618125,7.6,7.9,6.8,Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"USA, Italy, Switzerland, Thailand, Tunisia",5,,,0.2386460233478992,0.1743338311726151,2.600727947067019
6,563.2719836699998,330.0,16.148456328194076,Robert Zemeckis,142,Forrest Gump,Winston Groom,1994,8.8,1536054,8.8,7.3,8.2,Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,55000000.0,93.878663945,0.7972297566108274,0.0247862618601146,2.6272572950990702
7,448.520251102,314.0,11.710897854844651,Peter Jackson,178,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,2001,8.8,1448679,8.8,9.1,9.2,Alan Howard, Noel Appleby, Sean Astin, Sala Baker,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New Zealand, USA",2,109000000.0,155.696520287,0.5633208529472261,0.08538574504542222,1.1145793044913503
8,339.3202422133038,292.568851,21.20090846015995,Christopher Nolan,148,Inception,Christopher Nolan,2010,8.8,1766435,8.8,8.6,7.4,Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"USA, UK",2,160000000.0,185.56739232,0.5474272292280793,0.10998764032104108,3.086924337109422
9,552.972297196745,285.7612430000001,19.550654657380463,Chris Columbus,103,Home Alone,John Hughes,1990,7.5,382624,7.5,6.2,6.3,Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,15000000.0,29.02627512,0.5235398768363505,0.4799337456190083,2.088868174033073
10,386.8693743915,281.5,5.8118730062962225,Lana Wachowski,138,The Matrix Reloaded,Lilly Wachowski,2003,7.2,466165,7.2,7.3,6.2,Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,150000000.0,206.14709115,0.2612141901976633,0.1897750839602461,0.13718206731427274
11,380.39005657073164,259.0116,12.577361249294364,Ron Howard,104,How the Grinch Stole Christmas,Dr. Seuss,2000,6.1,169600,6.1,5.2,4.6,Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, Germany",2,123000000.0,180.640469223,1.086522133697891,0.03185732865932692,1.201889931944132
