,BoxOffice,Runtime,Title,Year,imdbVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,score_of_D,score_of_W,score_of_A
24,217995294.0924,100,The Polar Express,2004,148683,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,USA,1,0.7972297566108274,0.020922911603509883,1.901760374845143
25,241077973.1934,120,Mr. & Mrs. Smith,2005,404116,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,0.3840490451057515,0.09662562099061431,3.113174515339587
26,258787435.88414064,92,Jurassic Park III,2001,264299,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,0.3536390397977862,0.23656895584830395,2.390808973057344
27,147233730.87115526,117,Ant-Man,2015,458735,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,0.26113491120446186,0.0794675332276745,2.3357299739931645
28,211893737.8780021,107,X-Men Origins: Wolverine,2009,423789,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"USA, UK",2,0.2228243825730789,0.11820001336704454,1.7215715995582177
29,414949958.36809474,110,Top Gun,1986,258456,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.6306689083732903,0.020552936283546465,3.2671961844208286
30,229911145.6653609,118,Hitch,2005,273536,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,0.3853680413440923,0.021387576933611943,1.7326783514395387
31,345231294.5400302,119,Pretty Woman,1990,253329,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,0.6258601121095493,0.06442571889971821,2.775534613796216
32,248009882.1732,81,Ice Age,2002,386241,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.16685483758409775,0.06237350512155598,1.780926769632245
33,231620902.48440483,131,National Treasure,2004,281572,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,USA,1,0.4110360331038886,0.22079198256200608,2.9756434352654
34,243889801.46198508,135,A Beautiful Mind,2001,743358,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,1.086522133697891,0.10396941638964648,4.302805919551342
